paper_id,organism,year,journal,query_source,explicit_reason_found,hallucination_free,null_reason,claim,category,subcategory,supporting_quote,quote_match_score,hallucination_risk,cluster_id,cluster_probability,umap_x,umap_y
41160541,E. coli,2025,PLoS One,ecoli_model_organism,True,True,,E. coli is a model organism in biotechnology,historical,model_organism_status,a model organism of biotechnology,1.0,False,-1,0.0,11.499948,0.18226723
40821719,E. coli,2025,Comput Struct Biotechnol J,ecoli_model_organism,True,True,,E. coli K-12 is a well-studied model organism with a significant number of uncharacterized proteins,biological,model_organism_status,"Even in the best-studied model organism Escherichia coli K-12, over 2 % of the proteome remains uncharacterized",0.955,False,11,1.0,11.713129,-0.16977729
40752575,E. coli,2025,J Biol Chem,ecoli_model_organism,True,True,,E. coli was chosen because its LpxC regulation has been extensively studied,historical,prior_research,The regulation of LpxC in the model organism Escherichia coli has been the subject of immense study,1.0,False,-1,0.0,12.118458,1.5506659
40592036,E. coli,2025,Curr Opin Biotechnol,ecoli_model_organism,True,True,,E. coli can perform irreversible rare sugar production using its native phosphorylation-dephosphorylation system,biological,metabolic_pathway_utilization,Escherichia coli is capable of irreversible rare sugar production using phosphorylation-dephosphorylation chemistry using its native components,1.0,False,-1,0.0,11.326678,1.8158066
40138712,E. coli,2025,ACS Synth Biol,ecoli_model_organism,True,True,,E. coli is a widely studied model organism,historical,model_organism_status,Escherichia coli is a widely studied model organism,1.0,False,11,0.9572259129371827,11.929998,-0.16259539
40138712,E. coli,2025,ACS Synth Biol,ecoli_model_organism,True,True,,E. coli is part of the human gut microbiome and has therapeutic potential,biological,native_gut_resident,"an integral component of the human gut microbiome, offering significant potential for bacteria-based therapeutic applications",1.0,False,7,0.9945679895994594,13.458174,2.6480823
40074634,E. coli,2025,Trends Biotechnol,ecoli_model_organism,True,True,,use of a no-leakage genetic device to control expression of toxic products during assembly in E. coli,technical,expression_control,a no-leakage genetic device to control the expression of toxic products during Escherichia coli assembly,1.0,False,6,0.5226626581265392,10.968525,2.2196758
39990768,E. coli,2025,Eng Life Sci,ecoli_model_organism,True,True,,chosen because it is industrially relevant,economic,industrial_relevance,"The industrially relevant organism Escherichia coli, chosen as a model organism",1.0,False,3,1.0,8.904005,3.4116278
39858819,E. coli,2024,Microorganisms,ecoli_model_organism,True,True,,E. coli is a critical health threat due to antimicrobial resistance,biological,pathogenicity,"Antimicrobial resistance (AMR) represents a critical global health threat, and a thorough understanding of resistance mechanisms in Escherichia coli is needed to guide effective treatment interventions",1.0,False,7,1.0,13.376609,2.842144
39817767,E. coli,2025,J Bacteriol,ecoli_model_organism,True,True,,E. coli is a well-studied model organism for the Sec pathway,historical,model_organism_usage,The Sec pathway has been extensively studied in the model organism Escherichia coli,1.0,False,-1,0.0,11.840394,0.4525567
39795211,E. coli,2025,Molecules,ecoli_model_organism,True,True,,E. coli is used as a well-established model organism for comparison,historical,model_organism_status,"Apart from the model organism Escherichia coli, ultrastructural imaging data on the murein architecture of Gram-negative bacteria is mostly missing today",1.0,False,-1,0.0,13.6603985,0.77874255
39768235,E. coli,2024,Life (Basel),ecoli_model_organism,True,True,,E. coli is used as a model organism to study microbial responses to environmental stress,biological,stress_response,a model organism for understanding microbial responses to environmental stress,1.0,False,-1,0.0,12.57605,1.0838628
39744513,E. coli,2025,Mol Biol Res Commun,ecoli_model_organism,True,True,,E. coli is commonly used in recombinant protein research,historical,research_convention,"Escherichia coli , a model organism commonly utilized in recombinant protein research",1.0,False,6,0.8783513980105297,10.685123,2.6581855
39727393,E. coli,2025,Microbiol Resour Announc,ecoli_model_organism,True,True,,E. coli is a well-studied model organism,historical,model_organism_status,for this model organism,1.0,False,11,1.0,11.793915,-0.21419191
39723826,E. coli,2025,J Agric Food Chem,ecoli_model_organism,True,True,,E. coli is a model organism for biomanufacturing with potential for high-level ectoine production,technical,biomanufacturing_potential,"as a model organism for biomanufacturing, Escherichia coli offers significant advantages to be engineered for potentially high-level ectoine production",1.0,False,-1,0.0,11.37323,0.29132402
39689618,E. coli,2025,Redox Biol,ecoli_model_organism,True,True,,E. coli is used as a model organism,historical,model_organism,the model organism Escherichia coli,1.0,False,12,1.0,13.179817,0.41645902
39444519,E. coli,2024,Front Bioeng Biotechnol,ecoli_model_organism,True,True,,E. coli is a model organism suitable for recombinant production of non-proteinogenic amino acids,biological,model_organism,the recombinant production of these npAAs in a model organism like Escherichia coli paves the way for groundbreaking advancements in synthetic biology,1.0,False,6,0.5119585330264594,10.660367,2.2326348
39436600,E. coli,2025,Methods Mol Biol,ecoli_model_organism,True,True,,chosen as a model organism for gram-negative bacteria,historical,model_organism,"gram-negative and gram-positive model organism, i.e., Escherichia coli and Bacillus subtilis, respectively",1.0,False,1,0.3670212973324856,14.023227,7.364529
39377597,E. coli,2024,Microbiol Spectr,ecoli_model_organism,True,True,,E. coli was chosen as a representative Gram-negative model organism for comparison with the Gram-positive model B. subtilis,biological,model_organism_representation,the Gram-negative model organism Escherichia coli to auranofin when compared to the Gram-positive model organism Bacillus subtilis,1.0,False,8,1.0,13.9769335,1.3771971
39207104,E. coli,2024,mBio,ecoli_model_organism,True,True,,E. coli is a well-established model organism within the Enterobacteriaceae,historical,model_organism_status,containing the model organism Escherichia coli,1.0,False,11,0.8121896328313338,11.962899,-0.06068657
39068340,E. coli,2024,Methods Mol Biol,ecoli_model_organism,True,True,,E. coli is used as a model organism for gram-negative bacteria,historical,model_organism_status,The majority of the studies on gram-negative bacteria are conducted using the expression system of the model organism Escherichia coli,1.0,False,8,1.0,13.799327,1.3603172
39051562,E. coli,2024,Nucleic Acids Res,ecoli_model_organism,True,True,,E. coli has been widely used as a model for studying bacterial translesion synthesis mechanisms,historical,model_organism_precedent,The gram-negative bacterium Escherichia coli has served as the model organism for studies of the molecular mechanisms of bacterial TLS,1.0,False,-1,0.0,10.630809,0.9184313
38982189,E. coli,2024,FEMS Microbiol Rev,ecoli_model_organism,True,True,,E. coli is a well-established model organism with historically significant contributions to molecular biology,historical,model_organism_status,"Research on Escherichia coli DNA replication paved the groundwork for many breakthrough discoveries with important implications for our understanding of human molecular biology, due to the high level of conservation of key molecular processes involved",1.0,False,11,0.6711317817544826,11.612416,0.18428244
38982189,E. coli,2024,FEMS Microbiol Rev,ecoli_model_organism,True,True,,E. coli is relevant for studying antibiotic resistance through replication fidelity,biological,antibiotic_resistance,the understanding of factors influencing replication fidelity might be important for studies on the emergence of antibiotic resistance,1.0,False,-1,0.0,12.771415,1.9420534
38982189,E. coli,2024,FEMS Microbiol Rev,ecoli_model_organism,True,True,,Advanced techniques are widely accessible for E. coli studies,technical,technique_availability,"the wide access to high-resolution single-molecule and live-cell imaging, whole genome sequencing, and cryo-electron microscopy techniques... allows us to revisit certain assumptions about the replisomes",0.744,False,-1,0.0,11.2329445,0.4393632
38963481,E. coli,2024,Subcell Biochem,ecoli_model_organism,True,True,,E. coli is used as a model organism for studying CueR,historical,model_organism,we review the regulatory roles of CueR in the model organism Escherichia coli,1.0,False,12,1.0,13.28903,0.3505897
38864557,E. coli,2024,EcoSal Plus,ecoli_model_organism,True,True,,E. coli has a small and circular genome,biological,genome_size,its small and circular genome (4.6 million base pairs),1.0,False,11,0.6948290648184416,12.167375,-0.4768342
38864557,E. coli,2024,EcoSal Plus,ecoli_model_organism,True,True,,E. coli has well-characterized biochemical pathways,technical,pathway_characterization,well-characterized biochemical pathways,1.0,False,11,0.7029261149766348,10.956435,-0.23546799
38757952,E. coli,2024,mBio,ecoli_model_organism,True,True,,E. coli is used as a model organism for studying signal transduction,historical,model_organism_status,"One gut inhabitant, Escherichia coli, is a model organism for studying signal transduction.",1.0,False,-1,0.0,12.542701,0.9087539
