paper_id,organism,year,journal,query_source,explicit_reason_found,hallucination_free,null_reason,claim,category,subcategory,supporting_quote,quote_match_score,hallucination_risk
41821702,E. coli,2025,Food Sci Anim Resour,ecoli_model_organism,False,True,explanation,,,,,,
41477210,E. coli,2025,Front Microbiol,ecoli_model_organism,False,True,explanation,,,,,,
41406115,E. coli,2025,PLoS Pathog,ecoli_model_organism,False,True,explanation,,,,,,
41301468,E. coli,2025,Biomolecules,ecoli_model_organism,False,True,explanation,,,,,,
41208472,E. coli,2025,ACS Synth Biol,ecoli_model_organism,False,True,explanation,,,,,,
41196727,E. coli,2025,Microbiology (Reading),ecoli_model_organism,False,True,explanation,,,,,,
41160541,E. coli,2025,PLoS One,ecoli_model_organism,True,True,,E. coli is a model organism in biotechnology,historical,model_organism_status,a model organism of biotechnology,1.0,False
41070630,E. coli,2025,Microb Biotechnol,ecoli_model_organism,False,True,explanation,,,,,,
40891893,E. coli,2025,Microbiol Spectr,ecoli_model_organism,False,True,explanation,,,,,,
40844292,E. coli,2025,mBio,ecoli_model_organism,False,True,explanation,,,,,,
40827077,E. coli,2025,Environ Microbiol Rep,ecoli_model_organism,False,True,explanation,,,,,,
40821719,E. coli,2025,Comput Struct Biotechnol J,ecoli_model_organism,True,True,,E. coli K-12 is a well-studied model organism with a significant number of uncharacterized proteins,biological,model_organism_status,"Even in the best-studied model organism Escherichia coli K-12, over 2 % of the proteome remains uncharacterized",0.955,False
40792514,E. coli,2025,Microbiol Spectr,ecoli_model_organism,False,True,explanation,,,,,,
40752575,E. coli,2025,J Biol Chem,ecoli_model_organism,True,True,,E. coli was chosen because its LpxC regulation has been extensively studied,historical,prior_research,The regulation of LpxC in the model organism Escherichia coli has been the subject of immense study,1.0,False
40626787,E. coli,2025,mSystems,ecoli_model_organism,False,True,explanation,,,,,,
40592036,E. coli,2025,Curr Opin Biotechnol,ecoli_model_organism,True,True,,E. coli can perform irreversible rare sugar production using its native phosphorylation-dephosphorylation system,biological,metabolic_pathway_utilization,Escherichia coli is capable of irreversible rare sugar production using phosphorylation-dephosphorylation chemistry using its native components,1.0,False
40358241,E. coli,2025,Appl Environ Microbiol,ecoli_model_organism,False,True,explanation,,,,,,
40299698,E. coli,2025,Proc Natl Acad Sci U S A,ecoli_model_organism,False,True,explanation,,,,,,
40295535,E. coli,2025,Sci Rep,ecoli_model_organism,False,True,explanation,,,,,,
40151898,E. coli,2025,Environ Microbiol,ecoli_model_organism,False,True,explanation,,,,,,
