cluster_id,theme_name,size,percentage,dominant_organism,ecoli_pct,s_cerevisiae_pct,b_subtilis_pct,organism_distribution,dominant_category,historical_pct,biological_pct,technical_pct,economic_pct,cultural_pct,category_distribution,representative_claims_top10
-1,Outliers/Noise,487,23.91,E. coli,83.98,13.14,2.87,"E. coli: 409 (84.0%), S. cerevisiae: 64 (13.1%), B. subtilis: 14 (2.9%)",biological,19.3,43.94,35.52,1.23,0.0,"biological: 214 (43.9%), technical: 173 (35.5%), historical: 94 (19.3%), economic: 6 (1.2%)",E. coli is a model organism in biotechnology | E. coli was chosen because its LpxC regulation has been extensively studied | E. coli can perform irreversible rare sugar production using its native phosphorylation-dephosphorylation system | E. coli is a well-studied model organism for the Sec pathway | E. coli is used as a well-established model organism for comparison | E. coli is used as a model organism to study microbial responses to environmental stress | E. coli is a model organism for biomanufacturing with potential for high-level ectoine production | E. coli has been widely used as a model for studying bacterial translesion synthesis mechanisms | E. coli is relevant for studying antibiotic resistance through replication fidelity | Advanced techniques are widely accessible for E. coli studies
0,"Gram-Positive Physiology, Endospore Formation, and Industrial Bioprocessing (B. subtilis)",166,8.15,B. subtilis,10.24,1.2,88.55,"B. subtilis: 147 (88.6%), E. coli: 17 (10.2%), S. cerevisiae: 2 (1.2%)",biological,2.41,82.53,13.86,1.2,0.0,"biological: 137 (82.5%), technical: 23 (13.9%), historical: 4 (2.4%), economic: 2 (1.2%)","B. subtilis is used because it serves as a model organism for Gram‑positive spore‑forming bacteria | B. subtilis is important to microbial dynamics | B. subtilis has been used as a host strain for decades, enabling isolation of many unique viral strains | B. subtilis is a spore-forming probiotic bacterium | The Bacillus subtilis sacB gene provides sucrose sensitivity for selection | B. subtilis is a spore-forming Gram‑positive model organism that can be used to generate persister cells | B. subtilis has the highest number of known participants in the protein-tyrosine phosphorylation network | B. subtilis spores have been shown to survive each individual stress (compressional shock, heating, acceleration) | B. subtilis is used as a model organism to study phage impact on its microbial dynamics | B. subtilis provides a known model for sigma factor regulatory relationships"
1,Gram-Positive Bacterium Model Definition,29,1.42,B. subtilis,13.79,3.45,82.76,"B. subtilis: 24 (82.8%), E. coli: 4 (13.8%), S. cerevisiae: 1 (3.4%)",biological,6.9,89.66,3.45,0.0,0.0,"biological: 26 (89.7%), historical: 2 (6.9%), technical: 1 (3.4%)","It is a model organism of Gram‑positive bacteria | It is a ubiquitous Gram-positive organism, making it a suitable model. | It is the most widely studied Gram‑positive model organism | It is the best studied Gram‑positive model organism | chosen because it is a gram‑positive model organism | It is a Gram-positive model bacterium | It is the model organism for a large group of Gram‑positive bacteria (the Firmicutes) | It is a Gram‑positive model organism | It is a Gram‑positive model organism | It is a Gram‑positive model organism"
2,"Eukaryotic Cell Biology, Conserved Metabolic Pathways, and Human Disease Modeling (S. cerevisiae)",530,26.02,S. cerevisiae,1.51,98.49,0.0,"S. cerevisiae: 522 (98.5%), E. coli: 8 (1.5%)",biological,4.34,63.96,30.75,0.94,0.0,"biological: 339 (64.0%), technical: 163 (30.8%), historical: 23 (4.3%), economic: 5 (0.9%)","to estimate the relative contributions of cis and trans variations between laboratory and wild yeast strains | S. cerevisiae enables recovery of temperature-sensitive but respiratory competent zim17 mutant cells | The yeast system is involved in cell morphogenesis and abiotic stress responses, making it relevant for studying similar plant mechanisms. | Yeast is a facultative anaerobic organism that becomes auxotrophic for sterols in the absence of oxygen, enabling a genetic approach to identify sterol uptake/transport genes. | Findings in S. cerevisiae are applicable to many other cell systems | as a unicellular organism, yeast has robust systems to respond to environmental challenges | S. cerevisiae is useful because its metal‑homeostasis genes and systems are conserved across eukaryotes, including humans | Yeast is used because it serves as a model organism for studying genetic mechanisms that are difficult to investigate in mammalian cells. | Yeast mutants lacking sphingoid base synthesis enable complementation experiments to test organism specificity | S. cerevisiae is used because its molecular processes are conserved with multicellular organisms like humans"
3,"Genetic Tractability, Molecular Tooling, and Industrial Cell Factories",433,21.26,S. cerevisiae,10.85,80.6,8.55,"S. cerevisiae: 349 (80.6%), E. coli: 47 (10.9%), B. subtilis: 37 (8.5%)",biological,8.31,44.57,41.34,5.54,0.23,"biological: 193 (44.6%), technical: 179 (41.3%), historical: 36 (8.3%), economic: 24 (5.5%), cultural: 1 (0.2%)","vast knowledge accumulated over decades of research | It has been intensively studied by geneticists, molecular biologists, and computational scientists | It has been exploited for biochemistry and genetics studies since the early 20th century | extensive history of experimentation and annotation supports its use | It has provided extensive scientific knowledge about cellular and molecular biology | It has extensive documented annotation | its track record of seminal discoveries in biology | extensively studied with well-known protein functions and curated phenotype data | The datasets stem from decades of experiments and are abundant in information | extensively documented"
4,Experimental Rationale for Organism Selection (E. coli),25,1.23,E. coli,100.0,0.0,0.0,E. coli: 25 (100.0%),biological,16.0,52.0,32.0,0.0,0.0,"biological: 13 (52.0%), technical: 8 (32.0%), historical: 4 (16.0%)",E. coli was chosen because it is a model bacterium | E. coli was chosen because it is a model bacterium | E. coli was chosen to overcome the limitation that the previous device was restricted to Caulobacter species | E. coli was chosen because it is a well-studied host organism | E. coli was chosen because it is a model organism | E. coli was chosen because it is a model organism | E. coli was chosen because it is a model bacterium | E. coli was chosen because its heat shock response is one of the most well-characterized | E. coli was chosen because its growth and death are well understood in laboratory settings | E. coli was chosen as a model organism for studying cellular response to MP196
5,Standard Model Bacterium Utility and Characterization (E. coli),40,1.96,E. coli,100.0,0.0,0.0,E. coli: 40 (100.0%),biological,12.5,80.0,7.5,0.0,0.0,"biological: 32 (80.0%), historical: 5 (12.5%), technical: 3 (7.5%)",E. coli is used because it is a well-established model bacterium | E. coli is used because it is a model bacterium | E. coli is used because it is a well-established model bacterium | E. coli is used because it is a model bacterium | E. coli is used because it is a model bacterium and pathogen | E. coli is used because it is a model bacterium | E. coli is used because it is a model bacterium | E. coli is used because it is a model bacterium | E. coli is used because it is a model bacterium | E. coli is used because it is a model bacterium
6,Heterologous Protein Expression and Recombinant Production Chassis (E. coli),64,3.14,E. coli,92.19,6.25,1.56,"E. coli: 59 (92.2%), S. cerevisiae: 4 (6.2%), B. subtilis: 1 (1.6%)",technical,3.12,4.69,92.19,0.0,0.0,"technical: 59 (92.2%), biological: 3 (4.7%), historical: 2 (3.1%)",E. coli was used as a host for producing purified transducible Cre protein | E. coli was used for efficient expression of rat DAAO | E. coli was used because it enabled high expression and sufficient solubility of the recombinant protein | E. coli was used to overproduce recombinant proteins for in vitro functional assays | E. coli was used as a host to develop a reliable expression system for functional Fab-effector fusion proteins | BirA enzyme used in the method originates from E. coli | E. coli was used because it enabled expression and purification of the soluble C1b protein | E. coli enabled one-step purification of the recombinant protein from inclusion bodies | E. coli is widely used for recombinant protein expression and production of valuable products like molecular hydrogen | E. coli was used for overexpression and purification of the recombinant enzyme
7,"Clinical Pathogenesis, Virulence Modeling, and Infectious Disease (E. coli)",55,2.7,E. coli,96.36,0.0,3.64,"E. coli: 53 (96.4%), B. subtilis: 2 (3.6%)",biological,1.82,85.45,12.73,0.0,0.0,"biological: 47 (85.5%), technical: 7 (12.7%), historical: 1 (1.8%)","E. coli is associated with human diarrheal disease, making it relevant for study | Enterotoxigenic E. coli are important in causing post-weaning diarrhoea | E. coli is part of the human gut microbiome and has therapeutic potential | E. coli LF82 is a clinical isolate from Crohn's disease patients | E. coli ST131 can cause both intestinal and extraintestinal infections | E. coli is relevant for studying intestinal colonization due to its interaction with the microbiota in the mucus layer | E. coli O157:H7 is a significant food-borne pathogen | E. coli K1 is a medically important pathogen | E. coli is a common pathogen responsible for neonatal meningitis and sepsis | ETEC K88 is a suitable model for studying childhood diarrhea"
8,Gram-Negative Reference Organism and Cell Envelope Modeling (E. coli),24,1.18,E. coli,100.0,0.0,0.0,E. coli: 24 (100.0%),biological,20.83,62.5,16.67,0.0,0.0,"biological: 15 (62.5%), historical: 5 (20.8%), technical: 4 (16.7%)",E. coli is used as a representative model organism for Gram-negative bacteria | E. coli is a widely used Gram-negative model bacterium | E. coli is used as a model organism for gram-negative bacteria | E. coli is used because it serves as a representative model for Gram-negative bacteria | E. coli was used as a representative of gram-negative bacteria | E. coli is a Gram-negative model organism | E. coli is the major model organism for Gram-negative bacteria | E. coli was chosen as a Gram-negative model organism for comparison | E. coli is a gram-negative model organism | E. coli was chosen as a representative gram-negative model organism
9,"Antimicrobial Screening, Drug Tolerance, and Resistance Mechanisms (E. coli)",28,1.37,E. coli,100.0,0.0,0.0,E. coli: 28 (100.0%),biological,7.14,71.43,21.43,0.0,0.0,"biological: 20 (71.4%), technical: 6 (21.4%), historical: 2 (7.1%)",E. coli is used as a model organism for studying antibiotic responses | E. coli has traditionally been used to study fluoroquinolone antibiotic tolerance | chosen as a model organism for studying antibiotic resistance reversion | E. coli was chosen to evaluate the role of reactive oxygen species in resveratrol's antibacterial mechanism | E. coli was used as a model organism for screening antibacterial compounds | used a permeable E. coli strain to study in vivo effects of FtsZ inhibitors | E. coli is a suitable model for studying antibiotic resistance mechanisms | E. coli was used as a model system to study intrinsic multidrug resistance | E. coli was used as a model organism to study susceptibility to carolacton | used as a model system for controlling antibiotic-resistant pathogenic bacteria
10,"DNA Replication, Recombination, Repair, and Replication Fidelity (E. coli)",29,1.42,E. coli,93.1,6.9,0.0,"E. coli: 27 (93.1%), S. cerevisiae: 2 (6.9%)",biological,24.14,55.17,20.69,0.0,0.0,"biological: 16 (55.2%), historical: 7 (24.1%), technical: 6 (20.7%)","E. coli is used as a model system for studying chromosomal replication fidelity | E. coli is used as a model system to study DNA replication and its regulation during the cell cycle | E. coli serves as a benchmark for comparing DNA replication mechanisms | E. coli was used as a model organism to demonstrate XerC-mediated DNA inversion in a synthetic locus | E. coli is used as a model organism to study DNA replication mechanisms | E. coli serves as a simpler, defined model for studying conserved RecQ helicase functions and human oncogenesis | E. coli allows use of recB mutants as a model to study DSB resection mechanisms in bacteria | E. coli is a convenient model because Vpr affects conserved replication components, making it suitable for functional studies | E. coli DnaB is a major replicative helicase and serves as a model system for studying hexameric helicases | E. coli is used as a model because it has a single replicative polymerase, simplifying the study of clamp‑polymerase interactions."
11,Bacterial Reference Standard and Legacy Model Characterization (E. coli),101,4.96,E. coli,99.01,0.0,0.99,"E. coli: 100 (99.0%), B. subtilis: 1 (1.0%)",biological,42.57,44.55,12.87,0.0,0.0,"biological: 45 (44.6%), historical: 43 (42.6%), technical: 13 (12.9%)",E. coli is a well-established model organism for studying cellular behavior | E. coli is a widely studied model organism | E. coli is a well-studied model organism in biology | E. coli is a well-established model organism in biology | E. coli is a well-studied prokaryotic model organism | E. coli is a well-studied model for bacterial cell division | E. coli is a well-established model organism in biomolecular sciences | E. coli is a well-characterized model organism for studying Moco biosynthesis | E. coli is a well-characterized model organism | E. coli is a well-studied model organism
