cluster_id,cluster_name,dominant_organism,biological_system,kegg_pathway_id,kegg_pathway_name,ecocyc_pathway
0,"Gram-Positive Physiology, Endospore Formation, and Industrial Bioprocessing (B. subtilis)",B. subtilis,"Endospore formation, quorum sensing, and Gram-positive cell physiology","bsu02020, bsu02024, bsu03070","Two-component system, Quorum sensing, Bacterial secretion system",N/A
1,Gram-Positive Bacterium Model Definition,B. subtilis,Gram-positive cell wall biogenesis and peptidoglycan assembly,bsu00550,Peptidoglycan biosynthesis,N/A
2,"Eukaryotic Cell Biology, Conserved Metabolic Pathways, and Human Disease Modeling (S. cerevisiae)",S. cerevisiae,"Conserved eukaryotic cell biology, endoplasmic reticulum processing, longevity pathways, and disease homologues","sce04111, sce04113, sce04213, sce04141","Cell cycle - yeast, Meiosis - yeast, Longevity regulating pathway - yeast, Protein processing in endoplasmic reticulum",N/A
3,"Genetic Tractability, Molecular Tooling, and Industrial Cell Factories",S. cerevisiae,"Homologous recombination, genetic transformation, and secondary metabolite biosynthesis","sce03440, eco03440, bsu03440",Homologous recombination,"double-strand break repair, homologous recombination"
4,Experimental Rationale for Organism Selection (E. coli),E. coli,"Rapid cell culture, sulfur assimilation, and chaperone-mediated stress response","eco00920, eco03018","Sulfur metabolism, RNA degradation","heat shock response regulation, transcription initiation"
5,Standard Model Bacterium Utility and Characterization (E. coli),E. coli,Core metabolic modeling and standard cellular physiology,eco01100,Metabolic pathways,E. coli K-12 core metabolic reconstruction
6,Heterologous Protein Expression and Recombinant Production Chassis (E. coli),E. coli,"Recombinant protein translation, Sec/Tat secretion translocation, and ribosome function","eco03010, eco03060, eco03070","Ribosome, Protein export, Bacterial secretion system","Sec-dependent protein translocation, Tat-dependent protein translocation"
7,"Clinical Pathogenesis, Virulence Modeling, and Infectious Disease (E. coli)",E. coli,"Virulence determinants (fimbriae/pili), lipopolysaccharide assembly, and host cell infection pathways","map05130, eco00540","Pathogenic Escherichia coli infection, Lipopolysaccharide biosynthesis","O-antigen biosynthesis, Lipid A biosynthesis, pili assembly"
8,Gram-Negative Reference Organism and Cell Envelope Modeling (E. coli),E. coli,"Gram-negative envelope assembly, outer membrane biogenesis, and peptidoglycan cross-linking","eco00550, eco00540","Peptidoglycan biosynthesis, Lipopolysaccharide biosynthesis","murein peptidoglycan biosynthesis, outer membrane assembly"
9,"Antimicrobial Screening, Drug Tolerance, and Resistance Mechanisms (E. coli)",E. coli,"Beta-lactam resistance, cationic peptide barriers, and multidrug efflux transport","eco01501, eco01503, eco02010","beta-Lactam resistance, Cationic antimicrobial peptide (CAMP) resistance, ABC transporters","AcrAB-TolC multidrug efflux, antibiotic resistance genes"
10,"DNA Replication, Recombination, Repair, and Replication Fidelity (E. coli)",E. coli,"DNA replication fork, mismatch repair, nucleotide excision repair, and homologous recombination","eco03030, eco03430, eco03420, eco03440","DNA replication, Mismatch repair, Nucleotide excision repair, Homologous recombination","chromosomal DNA replication, methyl-directed mismatch repair, double-strand break repair"
11,Bacterial Reference Standard and Legacy Model Characterization (E. coli),E. coli,Reference proteome annotations and baseline K-12 metabolic network,eco01100,Metabolic pathways,MG1655 reference database
12,Genomic Annotation and Molecular Genetics Reference (E. coli),E. coli,"Transcription regulation, small RNA networks, and sensory signal transduction","eco03020, eco02020","RNA polymerase, Two-component system","transcription factor networks, small RNA regulatory networks"
